country_name,country_code,regime_category_index,spatial_democracy,parliament_chambers,lower_house_members,spatial_electoral,electoral_category_index,is_monarchy,is_democracy,is_presidential,is_colony,is_communist,has_proportional_voting,has_full_suffrage,is_multiparty,has_free_and_fair_election,has_alternation,has_new_constitution
"Congo, Republic of",COG,4.0,0.0,2.0,139.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Costa Rica,CRI,2.0,0.5,1.0,57.0,2.5,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Côte d`Ivoire,CIV,3.0,0.8,1.0,225.0,2.8,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Croatia,HRV,1.0,0.4,1.0,151.0,2.6,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Cuba,CUB,3.0,1.0,1.0,612.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Cyprus,CYP,2.0,0.3333333333333333,1.0,59.0,2.333333333333333,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Czech Republic,CZE,0.0,1.0,2.0,200.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Denmark,DNK,0.0,1.0,1.0,179.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Djibouti,DJI,3.0,0.0,1.0,65.0,0.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Dominica,DMA,0.0,1.0,1.0,21.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Dominican Republic,DOM,2.0,0.5,2.0,183.0,2.25,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Ecuador,ECU,2.0,1.0,1.0,137.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Egypt,EGY,4.0,0.2,1.0,508.0,1.8,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
El Salvador,SLV,2.0,0.3333333333333333,1.0,84.0,2.333333333333333,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Equatorial Guinea,GNQ,4.0,0.0,2.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Estonia,EST,0.0,0.6666666666666666,1.0,101.0,2.6666666666666665,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Ethiopia,ETH,3.0,0.0,2.0,547.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Fiji,FJI,4.0,0.75,1.0,50.0,2.75,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
