Season,Season Type,Week,Player Name,Position,Team Abbreviation,Avg Cushion,Avg Separation,Avg Intended Air Yards,Share of Intended Air Yards (%),Receptions,Targets,Catch Percentage,Yards,Receiving Touchdowns,Avg Yards After Catch,Avg Expected YAC,YAC Above Expectation,Player GSIS ID
2025,REG,0,Marvin Mims,WR,DEN,7.816410256410257,4.528699894119982,8.96686274509804,10.444706844296647,37,51,72.54901960784314,322.0,1,6.515135135135135,6.0426059766027445,0.4725291585323905,00-0038976
2025,REG,0,Tre Tucker,WR,LV,7.618735632183909,3.6219217863116024,10.305434782608698,29.081840796782938,57,92,61.95652173913043,696.0,5,5.249824561403509,5.017804735462975,0.23201982594053394,00-0038563
2025,REG,0,Luther Burden,WR,CHI,7.425192307692307,4.630454576457557,7.264833333333335,9.73344617452722,47,60,78.33333333333333,652.0,2,7.417872340425531,6.49109083460145,0.9267815058240814,00-0040735
2025,REG,0,Jordan Addison,WR,MIN,7.2798701298701305,2.867290530063287,14.401518987341772,29.910561710316692,42,79,53.16455696202531,610.0,3,3.5892857142857144,2.9627840873548057,0.6265016269309087,00-0038994
2025,REG,0,Josh Downs,WR,IND,7.213918918918919,2.6805034029614965,7.7382954545454545,15.8832749443711,58,88,65.9090909090909,559.0,4,2.6772413793103444,2.54290742878229,0.1343339505280543,00-0038997
2025,REG,0,Travis Hunter,WR,JAX,7.03475,3.318525980266503,7.594666666666668,7.005374558781931,28,45,62.22222222222222,298.0,1,5.498928571428572,4.736819089659643,0.7621094817689293,00-0040718
2025,REG,0,John Metchie,WR,NYJ,7.002195121951219,3.8336028948498684,5.223125,7.679301631059038,33,48,68.75,274.0,2,4.565757575757576,5.4329540812170505,-0.8671965054594741,00-0037614
2025,REG,0,D.J. Moore,WR,CHI,6.812857142857143,3.271765191029652,11.408,21.653004396787153,50,85,58.82352941176471,667.0,6,4.7307999999999995,4.120880524416065,0.6099194755839346,00-0034827
2025,REG,0,Chris Olave,WR,NO,6.8091333333333335,2.945061511109885,11.639871794871794,39.2775332302268,100,156,64.1025641025641,1163.0,9,3.0335999999999994,3.5547326790836498,-0.5211326790836504,00-0037239
2025,REG,0,Michael Pittman,WR,IND,6.776542056074768,3.0333786487343035,7.985405405405407,20.674357527044744,80,111,72.07207207207207,793.0,7,3.842,3.4212331766003743,0.4207668233996258,00-0036252
2025,REG,0,Evan Engram,TE,DEN,6.773653846153848,4.577735615988695,4.299605263157894,7.463245622249273,50,76,65.78947368421053,461.0,1,6.3326,6.416316275385167,-0.08371627538516702,00-0033881
2025,REG,0,Chimere Dike,WR,TEN,6.772238805970148,3.8035171337537874,8.205810810810812,15.646870265200322,48,74,64.86486486486487,423.0,4,4.776666666666667,5.002598585238759,-0.22593191857209138,00-0040705
2025,REG,0,Xavier Legette,WR,CAR,6.733448275862069,2.599621613011182,10.80453125,20.307897434090158,35,64,54.6875,363.0,3,2.4494285714285717,3.021083677756053,-0.5716551063274813,00-0039342
