"gsis_id","headshot"
"00-0028746","https://static.www.nfl.com/image/private/f_auto,q_auto/league/gp7dezgpf6nmzbkeizjv"
"00-0031381","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qtonvcqpixixqhc6lhnc"
"ADA222240","https://static.www.nfl.com/image/private/f_auto,q_auto/league/suxdryubfcql90fpeh8v"
"ADA229740","https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcid4j0nzil7v9f7wwl3"
"ADA249174","https://static.www.nfl.com/image/private/f_auto,q_auto/league/lhtvdwzha0jv9dbpgvhs"
"ADA276860","https://static.www.nfl.com/image/private/f_auto,q_auto/league/nijc8gaeklvo9koxkxct"
"00-0000045","https://static.www.nfl.com/image/private/f_auto,q_auto/league/tvzbhead7hjhqpcbilgc"
"00-0025391","https://static.www.nfl.com/image/private/f_auto,q_auto/league/s0wfqhtggx5qw5ihlpjx"
"00-0000047","https://static.www.nfl.com/image/private/f_auto,q_auto/league/az7w0uulag2praliusgu"
"ADA324014","https://static.www.nfl.com/image/private/f_auto,q_auto/league/cruzfwz6pbeb1k89utp0"
"00-0039808","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vhbpzmpvgkkun2onlp9s"
"00-0033872","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/plodzh6kwjvhpo2mf3ie"
"00-0025889","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ea0yftzolh0jtjeektqu"
"00-0028998","https://static.www.nfl.com/image/private/f_auto,q_auto/league/yna5goumnjv4ygsi14q0"
"00-0032429","https://static.www.nfl.com/image/private/f_auto,q_auto/league/euwosft7xb84upuhbutp"
"00-0030226","https://static.www.nfl.com/image/private/f_auto,q_auto/league/cl7dffywlq4kuh8cu3vl"
"00-0034457","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppc3a6qvlxjxmkwxbphn"
"ADA470662","https://static.www.nfl.com/image/private/f_auto,q_auto/league/mkulv0yzwzkfimxzw5hd"
"00-0020488","https://static.www.nfl.com/image/private/f_auto,q_auto/league/c5mas32c03syzb6vqjbi"
"00-0029047","https://static.www.nfl.com/image/private/f_auto,q_auto/league/aoh3pchsneduezgr40qc"
"00-0028338","https://static.www.nfl.com/image/private/f_auto,q_auto/league/f0urzbzxuqp5qivsxlg2"
